Date,Signal
2020-07-12,0
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,0
2020-08-23,1
2020-08-30,1
2020-09-06,0
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,0
2020-10-25,1
2020-11-01,0
2020-11-08,0
2020-11-15,1
2020-11-22,0
2020-11-29,1
2020-12-06,1
2020-12-13,0
2020-12-20,1
2020-12-27,1
2021-01-03,0
2021-01-10,0
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,0
2021-02-21,0
2021-02-28,1
2021-03-07,0
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,0
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,0
2021-05-16,0
2021-05-23,1
2021-05-30,0
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
